slug,nazwa,url,status_rynkowy,cena_od_pln,liczba_wersji,dostepnosc,gwarancja_pojazdu,gwarancja_baterii,prog_soh,liczba_salonow,stan_danych
byd-atto-2-dm-i,BYD ATTO 2 DM-i,https://nowoczesneauta.pl/modele/byd-atto-2-dm-i/,official_pl_current,120740,2,,6 lat / 150 000 km,8 lat / 250 000 km — deklaracja polskiej oferty,,47,2026-09-13
byd-atto-3-evo,BYD ATTO 3 EVO,https://nowoczesneauta.pl/modele/byd-atto-3-evo/,official_pl_current,181600,2,,6 lat / 150 000 km,8 lat / 250 000 km,,47,2026-09-13
byd-dolphin,BYD Dolphin,https://nowoczesneauta.pl/modele/byd-dolphin/,official_pl_current,149000,2,"Oficjalny cennik PL od 16.07.2026; promocja produkcji 2025, roku modelowego 2026, do 30.09.2026 lub wyczerpania zapasów.",6 lat / 150 000 km,8 lat / 250 000 km,70% (PDF z limitem 200 000 km),47,2026-09-13
byd-dolphin-g-dm-i,BYD Dolphin G DM-i,https://nowoczesneauta.pl/modele/byd-dolphin-g-dm-i/,official_pl_presale,120800,4,Oficjalna przedsprzedaż w Polsce; strona BYD nie podaje terminu pierwszych dostaw. Termin konkretnego auta do ustalenia.,6 lat / 150 000 km,8 lat / 250 000 km,,47,2026-09-13
byd-dolphin-surf,BYD Dolphin Surf,https://nowoczesneauta.pl/modele/byd-dolphin-surf/,official_pl_current,97700,2,,6 lat / 150 tys. km,8 lat / 250 tys. km,,47,2026-09-13
byd-e-vali,BYD E-Vali,https://nowoczesneauta.pl/modele/byd-e-vali/,official_pl_current,,0,Oficjalna polska oferta Armatus / BYD Trucks; wycena i termin indywidualnie.,,,,47,2026-09-13
byd-eth8,BYD ETH8,https://nowoczesneauta.pl/modele/byd-eth8/,official_pl_current,,0,oficjalna oferta Armatus w Polsce; wycena i konfiguracja indywidualna,,,,47,2026-09-13
byd-etm6,BYD ETM6,https://nowoczesneauta.pl/modele/byd-etm6/,official_pl_current,,0,oficjalna oferta Armatus w Polsce; cena i zabudowa na zapytanie,,,,47,2026-09-13
byd-etp3,BYD ETP3 eVan,https://nowoczesneauta.pl/modele/byd-etp3/,official_pl_current,,0,oficjalna oferta Armatus w Polsce; cena i wyposażenie na zapytanie,,,,47,2026-09-13
byd-seal,BYD Seal,https://nowoczesneauta.pl/modele/byd-seal/,official_pl_current,217400,2,,6 lat / 150 000 km,8 lat / 250 000 km,70%,47,2026-09-13
byd-seal-5-dm-i,BYD Seal 5 DM-i,https://nowoczesneauta.pl/modele/byd-seal-5-dm-i/,official_pl_current,129900,2,,6 lat / 150 tys. km,8 lat / 250 tys. km,70%,47,2026-09-15
byd-seal-6-dm-i,BYD Seal 6 DM-i,https://nowoczesneauta.pl/modele/byd-seal-6-dm-i/,official_pl_current,152600,2,,6 lat / 150 tys. km,8 lat / 250 tys. km,70%,47,2026-09-15
byd-seal-6-dm-i-touring,BYD Seal 6 DM-i Touring,https://nowoczesneauta.pl/modele/byd-seal-6-dm-i-touring/,official_pl_current,159100,2,,6 lat / 150 tys. km,8 lat / 250 tys. km,70%,47,2026-09-15
byd-seal-u,BYD Seal U,https://nowoczesneauta.pl/modele/byd-seal-u/,official_pl_current,195900,2,,6 lat / 150 tys. km,8 lat / 250 tys. km,70%,47,2026-09-15
byd-seal-u-dm-i,BYD Seal U DM-i,https://nowoczesneauta.pl/modele/byd-seal-u-dm-i/,official_pl_current,169900,3,,6 lat / 150 tys. km,8 lat / 250 tys. km,70%,47,2026-09-15
byd-sealion-5-dm-i,BYD Sealion 5 DM-i,https://nowoczesneauta.pl/modele/byd-sealion-5-dm-i/,official_pl_current,149990,1,,6 lat / 150 tys. km,8 lat / 250 tys. km,70%,47,2026-09-15
byd-sealion-7,BYD Sealion 7,https://nowoczesneauta.pl/modele/byd-sealion-7/,official_pl_current,219900,3,,6 lat / 150 tys. km,8 lat / 250 tys. km,70%,47,2026-09-15
byd-tang,BYD Tang,https://nowoczesneauta.pl/modele/byd-tang/,official_pl_current,320000,1,oficjalna oferta w Polsce; stan 2026-07-31,6 lat / 150 tys. km,8 lat / 250 tys. km,,47,2026-09-15
changan-cs55-plus,Changan CS55 Plus,https://nowoczesneauta.pl/modele/changan-cs55-plus/,official_pl_current,122600,1,,7 lat / 160 tys. km,,,9,2026-09-17
changan-cs75-plus,Changan CS75 Plus,https://nowoczesneauta.pl/modele/changan-cs75-plus/,official_pl_current,141400,1,,7 lat / 160 tys. km,,,9,2026-09-17
chery-tiggo-4,Chery Tiggo 4 HEV,https://nowoczesneauta.pl/modele/chery-tiggo-4/,official_pl_current,98200,2,,7 lat / 150 tys. km,,,48,2026-08-04
chery-tiggo-7,Chery Tiggo 7,https://nowoczesneauta.pl/modele/chery-tiggo-7/,official_pl_current,106900,3,,7 lat / 150 tys. km lub 3 lata bez limitu km,,,48,2026-07-08
chery-tiggo-7-hev,Chery Tiggo 7 HEV / Super Hybrid,https://nowoczesneauta.pl/modele/chery-tiggo-7-hev/,official_pl_current,124900,2,,7 lat / 150 tys. km lub 3 lata bez limitu km,"8 lat / 160 tys. km (akumulator, silnik, elektronika)",,48,2026-08-04
chery-tiggo-7-phev,Chery Tiggo 7 CSH / PHEV,https://nowoczesneauta.pl/modele/chery-tiggo-7-phev/,official_pl_current,132900,2,,7 lat / 150 tys. km lub 3 lata bez limitu km,"8 lat / 160 tys. km (akumulator, silnik, elektronika)",,48,2026-07-16
chery-tiggo-8,Chery Tiggo 8,https://nowoczesneauta.pl/modele/chery-tiggo-8/,official_pl_current,130900,2,,7 lat / 150 tys. km lub 3 lata bez limitu km,,,48,2026-07-08
chery-tiggo-8-phev,Chery Tiggo 8 CSH / PHEV,https://nowoczesneauta.pl/modele/chery-tiggo-8-phev/,official_pl_current,152900,2,,7 lat / 150 tys. km lub 3 lata bez limitu km,"8 lat / 160 tys. km (akumulator, silnik, elektronika)",,48,2026-07-16
chery-tiggo-9-phev,Chery Tiggo 9,https://nowoczesneauta.pl/modele/chery-tiggo-9-phev/,official_pl_current,209900,1,,7 lat / 150 tys. km lub 3 lata bez limitu km,"8 lat / 160 tys. km (akumulator, silnik, elektronika)",,48,2026-07-16
deepal-s05-phev-pro,Deepal S05 PHEV,https://nowoczesneauta.pl/modele/deepal-s05-phev-pro/,official_pl_current,149900,2,,7 lat / 160 tys. km,8 lat / 200 tys. km,,9,2026-09-17
deepal-s05-pro,Deepal S05,https://nowoczesneauta.pl/modele/deepal-s05-pro/,official_pl_current,169900,3,,7 lat / 160 tys. km,8 lat / 200 tys. km,70%,9,2026-09-17
deepal-s07,Deepal S07,https://nowoczesneauta.pl/modele/deepal-s07/,official_pl_current,204900,1,,7 lat / 160 tys. km,8 lat / 200 tys. km,70%,9,2026-09-17
denza-b5,Denza BAO 5,https://nowoczesneauta.pl/modele/denza-b5/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; termin niepotwierdzony,,,,3,2026-07-31
denza-b8,Denza B8,https://nowoczesneauta.pl/modele/denza-b8/,private_import,,0,brak oficjalnej dystrybucji w PL — dostępne przez import prywatny (jako BYD Leopard 8),,,,3,2026-07-31
denza-d9,Denza D9 DM-i,https://nowoczesneauta.pl/modele/denza-d9/,official_pl_announced,394700,1,oficjalna zapowiedź dla Polski; termin niepotwierdzony,,,,3,2026-07-31
denza-z,Denza Z,https://nowoczesneauta.pl/modele/denza-z/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; termin niepotwierdzony,,,,3,2026-07-31
denza-z9gt,Denza Z9GT,https://nowoczesneauta.pl/modele/denza-z9gt/,official_pl_current,526320,1,oficjalna oferta w Polsce; stan 2026-07-31,,,,3,2026-07-31
dfsk-c31,DFSK C31,https://nowoczesneauta.pl/modele/dfsk-c31/,official_pl_current,99876,1,oficjalna oferta w Polsce; stan 2026-07-31,,,,12,2026-08-04
dfsk-c32,DFSK C32,https://nowoczesneauta.pl/modele/dfsk-c32/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; termin niepotwierdzony,,,,12,2026-07-31
dfsk-e5-phev,DFSK E5 PHEV,https://nowoczesneauta.pl/modele/dfsk-e5-phev/,official_pl_current,127900,2,,,,,12,2026-07-08
dfsk-fx600,DFSK FX600,https://nowoczesneauta.pl/modele/dfsk-fx600/,official_pl_current,119900,2,,,,,12,2026-07-08
dongfeng-box,Dongfeng Box,https://nowoczesneauta.pl/modele/dongfeng-box/,official_pl_current,99900,1,,7 lat / 300 000 km · wybrane elementy; zakres dla Boxa do potwierdzenia,Zakres i limit dla baterii do potwierdzenia w książce gwarancyjnej,,27,2026-09-13
dongfeng-huge,Dongfeng Huge,https://nowoczesneauta.pl/modele/dongfeng-huge/,official_pl_current,134900,1,oficjalna oferta w Polsce; stan 2026-09-13,7 lat / 300 000 km · wybrane elementy; 10 lat bez limitu km na wybrane podzespoły napędu,,,27,2026-09-13
dongfeng-mage,Dongfeng Mage,https://nowoczesneauta.pl/modele/dongfeng-mage/,official_pl_current,109900,2,oficjalna oferta w Polsce; ICE i HEV; stan 2026-09-13,7 lat / 300 000 km · wybrane elementy; 10 lat bez limitu km na wybrane podzespoły napędu,,,27,2026-09-13
dongfeng-shine,Dongfeng Shine,https://nowoczesneauta.pl/modele/dongfeng-shine/,official_pl_current,84900,2,oficjalna oferta w Polsce; wyprzedaż rocznika 2025; stan 2026-09-13,7 lat / 300 000 km na wybrane elementy; 10 lat bez limitu km na wybrane podzespoły napędu; szczegóły w książce gwarancyjnej,,,27,2026-09-13
dongfeng-shine-gs,Dongfeng Shine GS,https://nowoczesneauta.pl/modele/dongfeng-shine-gs/,official_pl_current,84900,1,oficjalna oferta w Polsce; stan 2026-09-13,7 lat / 300 000 km na wybrane elementy pojazdu; 10 lat bez limitu km na wybrane podzespoły napędu,,,27,2026-09-13
dongfeng-vigo,Dongfeng Vigo,https://nowoczesneauta.pl/modele/dongfeng-vigo/,official_pl_current,,0,polska karta modelu i zapytanie o jazdę próbną; cena nieopublikowana; stan 2026-09-13,7 lat / 300 000 km na wybrane elementy pojazdu; 10 lat bez limitu km na wybrane podzespoły napędu,,,27,2026-09-13
exlantix-es,Exlantix ES,https://nowoczesneauta.pl/modele/exlantix-es/,official_pl_current,329900,1,,7 lat / 150 tys. km lub 3 lata bez limitu km,8 lat / 160 000 km,,2,2026-09-13
exlantix-et,Exlantix ET,https://nowoczesneauta.pl/modele/exlantix-et/,official_pl_current,349900,1,,7 lat / 150 tys. km lub 3 lata bez limitu km,8 lat / 160 000 km,,2,2026-09-13
farizon-supervan,Farizon SV / SuperVan,https://nowoczesneauta.pl/modele/farizon-supervan/,official_pl_current,158864,10,oficjalna oferta w Polsce; stan 2026-09-11,5 lat / 200 000 km,8 lat / 200 000 km,,9,2026-09-11
farizon-v6e,Farizon V6E,https://nowoczesneauta.pl/modele/farizon-v6e/,official_pl_current,105775,1,oficjalna oferta w Polsce; stan 2026-07-31,,6 lat / 300 000 km; możliwość przedłużenia o 2 lata,,9,2026-07-31
firefly,Firefly,https://nowoczesneauta.pl/modele/firefly/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; 2026 — miesiąc niepotwierdzony,,,,0,2026-09-10
forthing-s7-reev,Forthing S7 REEV,https://nowoczesneauta.pl/modele/forthing-s7-reev/,official_pl_current,159900,1,,,,,25,2026-07-16
forthing-t-five,Forthing T-FIVE,https://nowoczesneauta.pl/modele/forthing-t-five/,official_pl_current,135900,1,,,,,25,2026-07-13
forthing-t-five-hev,Forthing T-FIVE HEV,https://nowoczesneauta.pl/modele/forthing-t-five-hev/,official_pl_current,155900,1,,,,,25,2026-08-04
forthing-t-five-reev,Forthing T-FIVE REEV,https://nowoczesneauta.pl/modele/forthing-t-five-reev/,official_pl_current,159900,1,,,,,25,2026-07-16
forthing-u-tour,Forthing U-TOUR,https://nowoczesneauta.pl/modele/forthing-u-tour/,official_pl_current,145900,1,,,,,25,2026-07-08
forthing-u-tour-hev,Forthing U-TOUR HEV,https://nowoczesneauta.pl/modele/forthing-u-tour-hev/,official_pl_current,161900,1,,,,,25,2026-07-16
forthing-u-tour-phev,Forthing U-TOUR PHEV,https://nowoczesneauta.pl/modele/forthing-u-tour-phev/,official_pl_current,179900,1,,,,,25,2026-07-16
forthing-v-tour-hev,Forthing V-TOUR HEV,https://nowoczesneauta.pl/modele/forthing-v-tour-hev/,official_pl_current,219900,1,,,,,25,2026-07-08
forthing-v-tour-phev,Forthing V-TOUR PHEV,https://nowoczesneauta.pl/modele/forthing-v-tour-phev/,official_pl_current,229900,1,,,,,25,2026-07-16
foton-aumark-s,Foton Aumark S,https://nowoczesneauta.pl/modele/foton-aumark-s/,official_pl_current,,0,oficjalna oferta w Polsce; stan 2026-09-10,,,,23,2026-09-10
foton-cavan,Foton Cavan,https://nowoczesneauta.pl/modele/foton-cavan/,official_pl_current,,0,oficjalna oferta w Polsce; stan 2026-09-10,"5 lat / 200 000 km — oferta Power Truck Poland, Cavan 66,67 kWh","8 lat / 400 000 km — oferta Power Truck Poland, Cavan 66,67 kWh",,23,2026-09-10
foton-eaumark,Foton eAumark,https://nowoczesneauta.pl/modele/foton-eaumark/,official_pl_current,,0,oficjalna oferta w Polsce; stan 2026-09-10,,,,23,2026-09-10
foton-emiler,Foton eMiler,https://nowoczesneauta.pl/modele/foton-emiler/,official_pl_current,,0,oficjalna oferta w Polsce; stan 2026-09-10,,5 lat / 200 000 km,,23,2026-09-10
foton-etoano-pro,Foton eToano Pro,https://nowoczesneauta.pl/modele/foton-etoano-pro/,official_pl_current,,0,oficjalna oferta w Polsce; stan 2026-09-10,,,,23,2026-09-10
foton-tunland-g7,Foton Tunland G7,https://nowoczesneauta.pl/modele/foton-tunland-g7/,official_pl_current,,0,oficjalna oferta w Polsce; stan 2026-09-10,,,,23,2026-09-10
foton-tunland-v9,Foton Tunland V9,https://nowoczesneauta.pl/modele/foton-tunland-v9/,official_pl_current,,0,oficjalna oferta w Polsce; stan 2026-09-10,5 lat / 200 000 km — deklaracja Foton Polska dla V9; inne kanały mają odmienne warunki,,,23,2026-09-10
gac-aion-ut,GAC Aion UT,https://nowoczesneauta.pl/modele/gac-aion-ut/,official_pl_current,129900,2,,8 lat (tylko hasło),,,16,2026-07-16
gac-aion-v,GAC Aion V,https://nowoczesneauta.pl/modele/gac-aion-v/,official_pl_current,178900,2,,5 lat,,,16,2026-07-16
gac-emkoo,GAC Emkoo,https://nowoczesneauta.pl/modele/gac-emkoo/,official_pl_current,144900,1,,5 lat,,,16,2026-08-04
gac-emzoom,GAC Emzoom,https://nowoczesneauta.pl/modele/gac-emzoom/,official_pl_current,124900,1,,5 lat,,,16,2026-07-08
gac-hyptec-ht,GAC Hyptec HT,https://nowoczesneauta.pl/modele/gac-hyptec-ht/,official_pl_current,222900,1,,,,,16,2026-07-16
geely-e2,Geely E2 (EX2),https://nowoczesneauta.pl/modele/geely-e2/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; 2026 — miesiąc niepotwierdzony,,,,20,2026-07-31
geely-e5,Geely E5,https://nowoczesneauta.pl/modele/geely-e5/,official_pl_current,169900,2,,,,,20,2026-07-16
geely-starray-em-i,Geely Starray EM-i,https://nowoczesneauta.pl/modele/geely-starray-em-i/,official_pl_current,119900,2,,6 lat na samochód,8 lat / 150 tys. km,,20,2026-07-16
gwm-haval-h7,GWM Haval H7,https://nowoczesneauta.pl/modele/gwm-haval-h7/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; termin niepotwierdzony,7 lat / 150 000 km,,,0,2026-09-11
gwm-jolion-max,GWM Jolion Max,https://nowoczesneauta.pl/modele/gwm-jolion-max/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; termin niepotwierdzony,7 lat / 150 000 km,,,0,2026-09-11
gwm-ora-5,GWM ORA 5,https://nowoczesneauta.pl/modele/gwm-ora-5/,official_pl_current,109900,4,oficjalna oferta w Polsce; cennik od 2026-09-04,7 lat / 150 000 km,,,0,2026-09-11
hongqi-h5,Hongqi H5,https://nowoczesneauta.pl/modele/hongqi-h5/,official_pl_current,159900,2,,,,,16,2026-07-08
hongqi-h6,Hongqi H6,https://nowoczesneauta.pl/modele/hongqi-h6/,official_pl_current,184900,1,,,,,16,2026-07-08
hongqi-h9,Hongqi H9,https://nowoczesneauta.pl/modele/hongqi-h9/,official_pl_current,284900,1,,,,,16,2026-07-16
hongqi-hs3,Hongqi HS3,https://nowoczesneauta.pl/modele/hongqi-hs3/,official_pl_current,139900,2,,,,,16,2026-07-08
hongqi-hs5,Hongqi NEW HS5,https://nowoczesneauta.pl/modele/hongqi-hs5/,official_pl_current,167900,2,,,,,16,2026-07-08
hongqi-hs5-218-km,Hongqi HS5 218 KM (poprzednia generacja),https://nowoczesneauta.pl/modele/hongqi-hs5-218-km/,official_pl_current,159900,1,oficjalna oferta w Polsce; stan 2026-07-31,,,,16,2026-07-31
jac-e30x,JAC E30X,https://nowoczesneauta.pl/modele/jac-e30x/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; lato 2026,,,,21,2026-07-31
jac-j7-plus,JAC J7 Plus,https://nowoczesneauta.pl/modele/jac-j7-plus/,official_pl_current,89900,1,oficjalna oferta w Polsce; stan 2026-07-31,,,,21,2026-07-31
jac-js6,JAC JS6,https://nowoczesneauta.pl/modele/jac-js6/,official_pl_current,119900,1,oficjalna oferta w Polsce; stan 2026-08-04,,,,21,2026-08-04
jac-js6-phev,JAC JS6 PHEV,https://nowoczesneauta.pl/modele/jac-js6-phev/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; termin sprzedaży niepotwierdzony,,,,21,2026-07-31
jac-js8-pro,JAC JS8 Pro,https://nowoczesneauta.pl/modele/jac-js8-pro/,official_pl_current,119900,1,oficjalna oferta w Polsce; stan 2026-07-31,,,,21,2026-07-31
jac-n90,JAC N90,https://nowoczesneauta.pl/modele/jac-n90/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; termin sprzedaży niepotwierdzony,,,,21,2026-07-31
jac-rf8-phev,JAC RF8 PHEV,https://nowoczesneauta.pl/modele/jac-rf8-phev/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; lato 2026,,,,21,2026-07-31
jac-t8-pro,JAC T8 Pro,https://nowoczesneauta.pl/modele/jac-t8-pro/,official_pl_current,122877,1,oficjalna oferta w Polsce; stan 2026-07-31,,,,21,2026-07-31
jac-t9,JAC T9,https://nowoczesneauta.pl/modele/jac-t9/,official_pl_current,159777,1,oficjalna oferta w Polsce; stan 2026-07-31,,,,21,2026-07-31
jac-x200,JAC X200,https://nowoczesneauta.pl/modele/jac-x200/,official_pl_current,92127,1,oficjalna oferta w Polsce; stan 2026-07-31,,,,21,2026-07-31
jaecoo-5,Jaecoo 5,https://nowoczesneauta.pl/modele/jaecoo-5/,official_pl_current,104900,2,,7 lat / 150 000 km,,,60,2026-07-08
jaecoo-5-hybrid,Jaecoo 5 Hybrid,https://nowoczesneauta.pl/modele/jaecoo-5-hybrid/,official_pl_current,119500,2,,7 lat / 150 000 km lub 3 lata bez limitu km,8 lat / 160 000 km,,60,2026-09-25
jaecoo-7,Jaecoo 7,https://nowoczesneauta.pl/modele/jaecoo-7/,official_pl_current,139900,2,,7 lat / 150 000 km,,,60,2026-07-07
jaecoo-7-hybrid,Jaecoo 7 Hybrid,https://nowoczesneauta.pl/modele/jaecoo-7-hybrid/,official_pl_current,134900,2,,7 lat / 150 000 km lub 3 lata bez limitu km,8 lat / 160 000 km,,60,2026-09-25
jaecoo-7-super-hybrid,Jaecoo 7 Super Hybrid,https://nowoczesneauta.pl/modele/jaecoo-7-super-hybrid/,official_pl_current,159900,2,,7 lat / 150 000 km lub 3 lata bez limitu km,,,60,2026-09-25
jaecoo-8,Jaecoo 8 Super Hybrid,https://nowoczesneauta.pl/modele/jaecoo-8/,official_pl_current,219900,2,,7 lat / 150 000 km lub 3 lata bez limitu km,,,60,2026-09-25
jaecoo-e5,Jaecoo E5,https://nowoczesneauta.pl/modele/jaecoo-e5/,official_pl_current,139900,1,,7 lat / 150 000 km lub 3 lata bez limitu km,8 lat / 160 000 km,,60,2026-09-25
jetour-dashing,Jetour Dashing,https://nowoczesneauta.pl/modele/jetour-dashing/,official_pl_current,112900,2,,5 lat / 150 tys. km,,,26,2026-07-08
jetour-t2,Jetour T2,https://nowoczesneauta.pl/modele/jetour-t2/,official_pl_current,174900,1,,5 lat / 150 tys. km,,,26,2026-07-16
jetour-x50,Jetour X50,https://nowoczesneauta.pl/modele/jetour-x50/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; 2026 — miesiąc niepotwierdzony,,,,26,2026-07-31
jetour-x70-plus,Jetour X70 Plus,https://nowoczesneauta.pl/modele/jetour-x70-plus/,official_pl_current,124900,2,,5 lat / 150 tys. km,,,26,2026-07-08
leapmotor-b03x,Leapmotor B03X,https://nowoczesneauta.pl/modele/leapmotor-b03x/,official_pl_current,94900,3,oficjalna oferta w Polsce; stan 2026-07-31,4 lata / 100 000 km,8 lat / 160 000 km,,26,2026-07-31
leapmotor-b05,Leapmotor B05,https://nowoczesneauta.pl/modele/leapmotor-b05/,official_pl_current,111900,3,,4 lata / 100 000 km,8 lat / 160 000 km,,26,2026-07-16
leapmotor-b10,Leapmotor B10 EV,https://nowoczesneauta.pl/modele/leapmotor-b10/,official_pl_current,106900,5,,4 lata / 100 000 km,8 lat / 160 000 km,,26,2026-07-16
leapmotor-b10-hybrid-ev,Leapmotor B10 Hybrid EV,https://nowoczesneauta.pl/modele/leapmotor-b10-hybrid-ev/,official_pl_current,109900,2,oficjalna oferta w Polsce; stan 2026-07-31,4 lata / 100 000 km,8 lat / 160 000 km,,26,2026-07-31
leapmotor-c10,Leapmotor C10 EV,https://nowoczesneauta.pl/modele/leapmotor-c10/,official_pl_current,138200,6,,4 lata / 100 000 km,8 lat / 160 000 km,,26,2026-07-16
leapmotor-c10-hybrid-ev,Leapmotor C10 Hybrid EV,https://nowoczesneauta.pl/modele/leapmotor-c10-hybrid-ev/,official_pl_current,138200,2,oficjalna oferta w Polsce; stan 2026-07-31,4 lata / 100 000 km,8 lat / 160 000 km,,26,2026-07-31
leapmotor-t03,Leapmotor T03,https://nowoczesneauta.pl/modele/leapmotor-t03/,official_pl_current,84900,1,,3 lata / 100 000 km,8 lat / 160 000 km,,26,2026-07-07
lepas-l4,LEPAS L4,https://nowoczesneauta.pl/modele/lepas-l4/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; jesień 2026,,,,0,2026-09-11
lepas-l6,LEPAS L6,https://nowoczesneauta.pl/modele/lepas-l6/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; jesień 2026,,,,0,2026-09-11
lepas-l8,LEPAS L8,https://nowoczesneauta.pl/modele/lepas-l8/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; jesień 2026,,,,0,2026-09-11
maxus-deliver-7,Maxus Deliver 7,https://nowoczesneauta.pl/modele/maxus-deliver-7/,official_pl_current,116727,3,oficjalna oferta w Polsce; stan 2026-07-31,5 lat / 160 000 km,,,27,2026-07-31
maxus-deliver-9,Maxus Deliver 9,https://nowoczesneauta.pl/modele/maxus-deliver-9/,official_pl_current,117957,4,oficjalna oferta w Polsce; stan 2026-07-31,5 lat / 160 000 km,,,27,2026-07-31
maxus-deliver-9-chassis,Maxus Deliver 9 Chassis,https://nowoczesneauta.pl/modele/maxus-deliver-9-chassis/,official_pl_current,110577,4,oficjalna oferta w Polsce; stan 2026-07-31,5 lat / 160 000 km,,,27,2026-07-31
maxus-e-deliver-3,Maxus e-Deliver 3,https://nowoczesneauta.pl/modele/maxus-e-deliver-3/,official_pl_current,135177,1,oficjalna oferta w Polsce; stan 2026-07-31,5 lat / 100 000 km,8 lat / 160 000 km,70%,27,2026-07-31
maxus-e-deliver-5,Maxus e-Deliver 5,https://nowoczesneauta.pl/modele/maxus-e-deliver-5/,official_pl_current,149937,2,oficjalna oferta w Polsce; stan 2026-07-31,5 lat / 100 000 km,8 lat / 200 000 km,,27,2026-07-31
maxus-e-deliver-7,Maxus e-Deliver 7,https://nowoczesneauta.pl/modele/maxus-e-deliver-7/,official_pl_current,191757,8,oficjalna oferta w Polsce; stan 2026-07-31,5 lat / 100 000 km,8 lat / 250 000 km,,27,2026-07-31
maxus-e-deliver-9,Maxus e-Deliver 9,https://nowoczesneauta.pl/modele/maxus-e-deliver-9/,official_pl_current,196677,6,oficjalna oferta w Polsce; stan 2026-07-31,5 lat / 100 000 km,8 lat / 160 000 km,70%,27,2026-07-31
maxus-e-deliver-9-chassis,Maxus e-Deliver 9 Chassis,https://nowoczesneauta.pl/modele/maxus-e-deliver-9-chassis/,official_pl_current,189297,4,oficjalna oferta w Polsce; stan 2026-07-31,5 lat / 160 000 km,8 lat / 250 000 km,,27,2026-07-31
maxus-eterron-9-luxury,Maxus eTerron 9,https://nowoczesneauta.pl/modele/maxus-eterron-9-luxury/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; 2026 — miesiąc niepotwierdzony,5 lat / 160 tys. km,8 lat / 200 tys. km,,27,2026-07-31
maxus-t60-max,Maxus T60 MAX,https://nowoczesneauta.pl/modele/maxus-t60-max/,official_pl_current,159777,1,,5 lat / 160 tys. km,,,27,2026-08-04
