"id","model_slug","model_url","observed_at","effective_from","category","kind","materiality","confidence","title","summary","before","after","editorial_note","source_label","source_reference","reviewed_at"
"2026-09-16-mg-assistance-program-calej-gamy","mgs5-ev","https://nowoczesneauta.pl/modele/mgs5-ev/","2026-09-16","2025-12-22","warranty","added","medium","confirmed","MG Assistance: jeden program pomocy drogowej dla całej gamy MG","Producent opublikował 22 grudnia 2025 osobny dokument z warunkami pomocy drogowej dla wszystkich modeli MG: pierwszy rok w standardzie od rejestracji i bezpłatne przedłużenie do siedmiu lat pod warunkiem przeglądów w autoryzowanej sieci. Operatorem jest ARC Europe, zgłoszenia pod bezpłatnym numerem 600 222 129.","Zakres pomocy drogowej MG był opisany różnie na poszczególnych stronach modeli, bez wspólnego dokumentu, bez operatora i bez numeru zgłoszeniowego.","Wszystkie dwanaście stron modeli MG podaje ten sam warunek: dwanaście miesięcy w standardzie, bezpłatne przedłużenie do siedmiu lat przy przeglądach w sieci MG, operator ARC Europe, telefon 600 222 129.","Program obejmuje całą gamę, także modele spalinowe, dlatego opis jest jednakowy na dwunastu stronach MG. Warunkiem przedłużenia jest przegląd w autoryzowanym serwisie, a nie sam zakup auta.","Zestawienie oferty MGS5 EV z warunkami programu MG Assistance, 16.09.2026","mg/mgs5-ev/oferta-2026-09-16.md","2026-09-16"
"2026-09-16-mg-hs-hybrid-euro-ncap-luka-potwierdzona","mg-hs-hybrid","https://nowoczesneauta.pl/modele/mg-hs-hybrid/","2026-09-16","2024-11-13","correction","extended","medium","confirmed","MG HS Hybrid+: potwierdzona luka Euro NCAP — ocena HS jej nie obejmuje","Ocena Euro NCAP 5 gwiazdek dla MG HS z listopada 2024 wymienia w tabeli wariantów tylko wersję benzynową i plug-in. Hybrid+ nie występuje w tej tabeli, a testowany egzemplarz benzynowy (1575 kg) różni się masą od Hybrid+ (1660 kg) na tyle, że wyniku nie da się przenieść.","Pole ncap dla MG HS Hybrid+ było puste bez udokumentowanego uzasadnienia, a strona modelu nie tłumaczyła, czy ocena benzynowego HS obejmuje tę odmianę.","Ncap zostaje puste, ale teraz z potwierdzeniem: tabela wariantów oceny Euro NCAP dla HS (5 gwiazdek, 2024) wymienia wyłącznie wersję benzynową i plug-in, nie Hybrid+ — a różnica masy testowanego egzemplarza (1575 kg) wobec Hybrid+ (1660 kg) dodatkowo wyklucza przeniesienie wyniku.","Nie ekstrapolujemy oceny z tego samego nadwozia na inny wariant napędowy bez potwierdzenia w tabeli wariantów — różnica masy 85 kg jest zbyt duża, by traktować to jako ten sam typ homologacyjny.","Zestawienie oferty i luki Euro NCAP MG HS Hybrid+, 16.09.2026","mg/mg-hs-hybrid/oferta-2026-09-16.md","2026-09-16"
"2026-09-16-mg4-ev-ncap-dwie-oceny","mg4-ev","https://nowoczesneauta.pl/modele/mg4-ev/","2026-09-16","2026-09-16","correction","conflict","medium","conflict","MG4 EV: dwie oceny Euro NCAP pod jedną nazwą, w karcie modelu zostaje ta z 2022 roku","Euro NCAP ma pod nazwą MG4 dwie oceny po 5 gwiazdek: z grudnia 2022 (83/80/75/78%, egzemplarz 1685 kg) i z grudnia 2025 jako MG4 EV Urban (87/85/85/80%, egzemplarz 1520 kg). Urban to inna generacja z napędem na przednią oś, niesprzedawana w Polsce, więc do polskiej oferty przypisujemy ocenę starszą.","Karta modelu nie podawała żadnego wyniku Euro NCAP, a strona modelu odsyłała kupującego z tym pytaniem do salonu.","Karta modelu podaje 5 gwiazdek z oceny opublikowanej 7 grudnia 2022 roku wraz z 4 składowymi, a strona wprost nazywa nowszą ocenę jako dotyczącą modelu niedostępnego w Polsce.","Rozróżnienie napędu na tylną i przednią oś pochodzi z niezależnej prasy motoryzacyjnej — karta Euro NCAP podaje w obu wypadkach tylko oznaczenie 4×2. Dlatego przypisanie oznaczamy jako konflikt, a nie fakt potwierdzony przez organizację testującą.","Zestawienie oferty, bezpieczeństwa i rynku MG4 EV, 16.09.2026","mg/mg4-ev/oferta-2026-09-16.md","2026-09-16"
"2026-09-16-mgs6-ev-wynajem-arval","mgs6-ev","https://nowoczesneauta.pl/modele/mgs6-ev/","2026-09-16","2026-09-16","promotion","added","medium","confirmed","MGS6 EV: nowa oferta miesięcznego wynajmu od Arval","Obok gotówki, kredytu 50/50 i leasingu dla firm odnotowana 16 września 2026 subskrypcja od 1999 zł netto miesięcznie: umowa 48 miesięcy, limit 10 000 km rocznie, wpłata własna 10% ceny katalogowej, rata liczona od ceny katalogowej, dostawca Arval Service Lease Polska.","Finansowanie MGS6 EV: gotówka, kredyt 50/50 (BNP Paribas) i leasing dla firm (wg cennika od 101% ceny).","Finansowanie MGS6 EV: gotówka, kredyt 50/50, leasing dla firm i nowa miesięczna subskrypcja Arval od 1999 zł netto (48 mies., limit 10 000 km/rok, wpłata własna 10%).","Oferta jest kierowana wyłącznie do przedsiębiorców i nie zastępuje ceny katalogowej ani promocyjnej — rata liczona jest od ceny katalogowej, bo programy finansowe MG nie łączą się z rabatem 4000 zł; ważna do końca grudnia 2026.","Zestawienie oferty MGS6 EV, 16 września 2026","mg/mgs6-ev/oferta-2026-09-16.md","2026-09-16"
"2026-09-16-mgs9-phev-kredyt-termin-potwierdzony","mgs9-phev","https://nowoczesneauta.pl/modele/mgs9-phev/","2026-09-16","2026-09-16","promotion","conflict","medium","conflict","MGS9 PHEV: strona modelu potwierdza 30.09.2026 dla kredytu 50/50, konflikt z kampanią otwarty","Cennik i strona modelu potwierdzają 16 września 2026 jeden termin kredytu 50/50 — 30 września 2026. Data 31 października 2026, odnotowana 11 września przy stronie kampanii, nie pojawia się już w żadnym z dzisiejszych dokumentów, ale jej źródła nie udało się ustalić, więc konflikt zostaje otwarty.","Przegląd z 11 września 2026 odnotował rozbieżność terminu kredytu 50/50: cennik i strona modelu podawały 30.09.2026, a osobna strona kampanii importera — 31.10.2026, bez wyjaśnienia źródła tej drugiej daty.","Odczyt 16.09.2026 potwierdza, że strona modelu i cennik zgodnie wskazują wyłącznie 30.09.2026 — data 31.10.2026 nie występuje już nigdzie na sprawdzonej stronie, ale bez ponownego potwierdzenia strony kampanii konflikt formalnie zostaje otwarty.","Traktujemy 31.10.2026 jako niepotwierdzony ponownie relikt strony kampanii — nie podmieniamy nim daty z cennika i strony modelu, tylko pokazujemy obie na stronie z etykietą konfliktu.","Zestawienie oferty i konfliktu terminu finansowania MGS9 PHEV, 16 września 2026","mg/mgs9-phev/oferta-2026-09-16.md","2026-09-16"
"2026-09-15-byd-seal-u-gwarancja-baterii-200-vs-250","byd-seal-u","https://nowoczesneauta.pl/modele/byd-seal-u/","2026-09-15","2026-09-15","warranty","conflict","high","conflict","BYD Seal U: własna broszura modelu podaje 200 tys. km gwarancji baterii, ogłoszenie marki 250 tys.","Ikony gwarancyjne na broszurze-cenniku Seal U z lipca 2025 r. pokazują „lub 200 000 km” dla akumulatora. To wersja sprzed ogłoszenia BYD ze stycznia 2026 r. o wydłużeniu do 250 000 km, które trafiło do nowszych cenników gamy. Dla tego modelu nowszego dokumentu nie wydano, więc objęcie go wydłużeniem to założenie.","W rejestrze zapisano dla Seal U 8 lat / 250 tys. km z ogólnomarkową uwagą, że wiążący dokument podaje 200 tys. km — bez wskazania, że dokument tego konkretnego modelu jest starszy od samego ogłoszenia.","Udokumentowano, że jedyna broszura Seal U pochodzi sprzed ogłoszenia ze stycznia 2026 r. i drukuje 200 000 km, w odróżnieniu od cenników Seal U DM-i z fal ze stycznia i lipca 2026 r., które podają już 250 000 km.","Zapisany limit gwarancji baterii zostaje na 8 lat / 250 tys. km, spójnie z podejściem przyjętym dla pozostałych modeli marki. Strona modelu pokazuje obie liczby obok siebie na karcie baterii i w liście pytań do salonu, z prośbą o dokument gwarancyjny wystawiony na numer VIN.","Oferta, dane techniczne i Euro NCAP BYD Seal U (wersja elektryczna), 15.09.2026","byd/seal-u/oferta-2026-09-15.md","2026-09-15"
"2026-09-15-byd-tang-euro-ncap-uzupelnienie","byd-tang","https://nowoczesneauta.pl/modele/byd-tang/","2026-09-15","2023-12-06","correction","changed","high","confirmed","BYD Tang ma 5 gwiazdek Euro NCAP — w danych brakowało tej oceny","Euro NCAP opublikował ocenę Tanga 6 grudnia 2023: 5 gwiazdek, 87% za ochronę dorosłych, 87% za dzieci, 80% za niechronionych uczestników ruchu i 73% za systemy wspomagające. Badano egzemplarz Flagship o masie własnej 2630 kg, czyli wersję z polskiego cennika. Karta modelu nie podawała dotąd żadnego wyniku.","Ocena Euro NCAP dla Tanga nie była u nas podana — strona modelu nie wspominała o bezpieczeństwie ani razu.","5 gwiazdek Euro NCAP, ocena z 6 grudnia 2023 (87/87/80/73%), egzemplarz Flagship 2630 kg — wynik opisany w osobnej sekcji strony.","Ocena obejmuje jedną testowaną konfigurację z napędem na obie osie, identyczną z polską wersją sprzedażową co do masy własnej, więc przypisujemy ją modelowi bez zastrzeżenia rynkowego. Razem z nią uzupełniamy komplet danych z tabeli cennika, dotąd pustych — wymiary, masę, prędkość maksymalną, zużycie energii i pojemności bagażnika.","Zestawienie oferty, danych technicznych i wyniku Euro NCAP BYD Tang, 15.09.2026","byd/tang/oferta-2026-09-15.md","2026-09-15"
"2026-09-15-byd-assistance-program-potwierdzony","byd-sealion-7","https://nowoczesneauta.pl/modele/byd-sealion-7/","2026-09-15","2026-09-15","warranty","added","medium","confirmed","BYD Assistance potwierdzony dla całej gamy — 24 miesiące pomocy w całej Europie","Producent potwierdza program BYD Assistance: całodobowa pomoc w całej Europie przez 24 miesiące od dostawy, z holowaniem, naprawą na miejscu, autem zastępczym i noclegiem. Dla aut elektrycznych opisuje przedłużenie o kolejne 24 miesiące, dla hybryd plug-in krócej. Bezpłatna infolinia: 00800 10203000.","Strony modeli BYD nie mówiły nic o pomocy drogowej — zebrane wcześniej dokumenty producenta nie wspominały o żadnym programie.","Wszystkie 8 stron BYD z tej fali podaje BYD Assistance: 24 miesiące od dostawy, całą dobę w całej Europie, z bezpłatną infolinią 00800 10203000.","Zdarzenie jest zbiorcze dla gamy BYD — zapisujemy je raz, przy Sealionie 7, zamiast powielać ten sam fakt przy 8 modelach tej fali. Opis przedłużenia po stronie producenta jest niejednoznaczny (inaczej dla aut elektrycznych, inaczej dla hybryd plug-in), dlatego strony modeli proszą o potwierdzenie zakresu w salonie.","Zapis danych modelu BYD Sealion 7 z korektą o programie BYD Assistance, 15.09.2026","byd/sealion-7/dane.md","2026-09-15"
"2026-09-15-byd-seal-6-dm-i-towing-data-added","byd-seal-6-dm-i","https://nowoczesneauta.pl/modele/byd-seal-6-dm-i/","2026-09-15","","equipment","added","medium","confirmed","BYD Seal 6 DM-i: cennik ujawnia dane o holowaniu i dachu","Cennik z 11.08.2026 podaje dla sedana maksymalną masę przyczepy 750 kg, obciążenie haka 75 kg i obciążenie dachu 75 kg — te same wartości co w wariancie Touring, wcześniej nieobecne w naszych danych dla sedana.","Brak danych o maksymalnej masie przyczepy, nacisku na hak i obciążeniu dachu dla wariantu sedan.","750 kg przyczepy (polski cennik podaje jedną wspólną wartość dla przyczepy hamowanej i niehamowanej), 75 kg nacisku na hak, 75 kg obciążenia dachu — identycznie w Boost i Comfort.","Polski cennik podaje jedną wspólną liczbę zamiast osobnych wartości dla przyczepy hamowanej i niehamowanej — nie można wykluczyć uproszczenia układu tabeli po stronie producenta, więc wartość warto potwierdzić w salonie.","Cennik BYD Seal 6 DM-i, rocznik 2026 (dokument z 11.08.2026)","byd/seal-6-dm-i/cennik-2026-09-my2026.pdf","2026-09-15"
"2026-09-15-byd-seal-6-dm-i-touring-ncap-nadwozie-konflikt","byd-seal-6-dm-i-touring","https://nowoczesneauta.pl/modele/byd-seal-6-dm-i-touring/","2026-09-15","2026-09-15","correction","conflict","medium","conflict","Ocena Euro NCAP Seal 6 nie ma osobnego wpisu dla nadwozia Touring","Bezpośrednie sprawdzenie u Euro NCAP potwierdziło, że lista wariantów oceny „BYD SEAL 6” jest pusta, a jedyny konkretny opis nadwozia w dokumentacji ratunkowej wskazuje na sedan, nie na Touring.","Strona przypisywała Touringowi ocenę 5 gwiazdek bez zastrzeżenia, że Euro NCAP nie potwierdza wprost objęcia nadwozia kombi tą oceną.","Ocena 5 gwiazdek zostaje, ale strona modelu jasno mówi, że oceniano sedan, a Euro NCAP nie publikuje osobnej listy wariantów dla Touringa.","Nie zmieniamy liczby gwiazdek — to wciąż jedyna dostępna ocena dla tej platformy. Zmieniamy tylko sposób jej prezentacji, żeby nie sugerować bezpośredniego testu kombi.","Sprawdzenie Euro NCAP dla BYD Seal 6 DM-i Touring, 15.09.2026","byd/seal-6-dm-i-touring/oferta-2026-09-15.md","2026-09-15"
"2026-09-14-voyah-courage-gwarancja-pl-konflikt","voyah-courage","https://nowoczesneauta.pl/modele/voyah-courage/","2026-09-14","2026-09-14","warranty","conflict","high","conflict","Voyah Courage: gwarancji dla Polski nie ma, limity znane tylko z rynków NO i NL","Importer nie publikuje warunków gwarancji ani serwisu Courage (voyah.pl/gwarancja i /serwis zwracają 404). Rynki NO i NL podają 5 lat/150 000 km na pojazd i 8 lat/200 000 km na baterię, próg 75% pojemności tylko Norwegia. Polska prasa nie podaje dla Courage żadnych okresów.","Polskie warunki gwarancji i serwisu Courage nieustalone; w rejestrze brak wpisu o źródłach zagranicznych i o norweskim interwale przeglądu.","Warunki nadal nieopublikowane przez importera; udokumentowano limity NO i NL, przeciwstawne podejście obu rynków do utraty pojemności baterii oraz interwał przeglądu 1 rok albo 20 000 km znany wyłącznie z Norwegii.","Okresy z polskiej prasy dotyczą Free i Dream, nie Courage — nie przenosimy ich na ten model. Pola warr_* w bazie pozostają puste do czasu dokumentu importera.","Skrót oferty, gwarancji i serwisu Voyah Courage, 14.09.2026","niszowe/voyah/courage/oferta-2026-09-14.md","2026-09-14"
